humedal fecha first_file last_file
Angachilla 20200109 1 24
Angachilla 20191027 169 192
Angachilla 20191028 289 312
Angachilla 20191029 313 336
Angachilla 20191030 337 360
Angachilla 20191031 145 168
Angachilla 20200106 433 456
Angachilla 20200107 457 480
Angachilla 20200108 481 504
Angachilla 20200110 505 528
Miraflores 20200109 25 48
Miraflores 20191027 193 216
Miraflores 20191028 361 384
Miraflores 20191029 385 408
Miraflores 20191030 409 432
Miraflores 20191031 97 120
Miraflores 20200106 529 552
Miraflores 20200107 553 576
Miraflores 20200108 577 600
Miraflores 20200110 601 624
El_Bosque 20200109 49 72
El_Bosque 20191027 73 96
El_Bosque 20191028 217 240
El_Bosque 20191029 241 264
El_Bosque 20191030 265 288
El_Bosque 20191031 121 144
El_Bosque 20200106 625 648
El_Bosque 20200107 649 672
El_Bosque 20200108 673 696
El_Bosque 20200110 697 720
Angachilla 20200413 721 744
Angachilla 20200414 745 768
Angachilla 20200415 769 792
Angachilla 20200416 793 816
Angachilla 20200417 817 840
Miraflores 20200413 841 864
Miraflores 20200415 865 888
Miraflores 20200414 889 912
Miraflores 20200416 913 936
Miraflores 20200417 937 960
El_Bosque 20200413 961 984
El_Bosque 20200415 985 1008
El_Bosque 20200414 1009 1032
El_Bosque 20200416 1031 1056
El_Bosque 20200417 1057 1080
Angachilla 20200720 1081 1104
Angachilla 20200721 1105 1128
Angachilla 20200722 1129 1152
Angachilla 20200723 1153 1176
Angachilla 20200724 1177 1200
Miraflores 20200720 1201 1224
Miraflores 20200721 1225 1248
Miraflores 20200722 1249 1272
Miraflores 20200723 1273 1296
Miraflores 20200724 1297 1320
El_Bosque 20200721 1321 1344
El_Bosque 20200720 1345 1368
El_Bosque 20200722 1369 1392
El_Bosque 20200723 1393 1416
El_Bosque 20200724 1417 1440
Angachilla 20201027 1441 1464
Angachilla 20201028 1105 1488
Angachilla 20201029 1129 1512
Angachilla 20201030 1153 1536
Angachilla 20201031 1177 1560
Miraflores 20201027 1561 1584
Miraflores 20201028 1585 1608
Miraflores 20201029 1609 1632
Miraflores 20201030 1633 1656
Miraflores 20201031 1657 1680
El_Bosque 20201027 1681 1704
El_Bosque 20201028 1705 1728
El_Bosque 20201029 1729 1752
El_Bosque 20201030 1753 1776
El_Bosque 20201031 1777 1800
